Term,RelationType,Value,Language
Military Operation,PT,Rules and Procedures,EN
Military Operation,PT,Force Deployment,EN
Военная операция,PT,Командная структура,RU
Военная операция,PT,Оперативный план,RU
Военная операция,PT,Правила и регламенты,RU
Военная операция,PT,Развёртывание сил,RU
Әскери операция,PT,Басқару құрылымы,KZ
Әскери операция,PT,Оперативтік жоспар,KZ
Әскери операция,PT,Ережелер мен рәсімдер,KZ
Әскери операция,PT,Күштерді орналастыру,KZ
Military Operation,LE,Operation militaire (FR),EN
Military Operation,LE,Operación militar (ES),EN
Military Operation,LE,Militärische Operation (DE),EN
Военная операция,LE,Operación militar (ES),RU
Военная операция,LE,Operazione militare (IT),RU
Военная операция,LE,Operation militaire (FR),RU
Әскери операция,LE,Operación militar (ES),KZ
Әскери операция,LE,Militärische Operation (DE),KZ
Әскери операция,LE,Operation militaire (FR),KZ
Military Activity,SN,General actions undertaken by armed forces in peacetime or wartime,EN
Military Activity,SN,"Includes training, readiness, logistics, intelligence, and combat operations",EN
Military Activity,SN,Broad category covering all activities of military organizations,EN
Военная деятельность,SN,Общие действия вооружённых сил в мирное и военное время,RU
Военная деятельность,SN,"Включает обучение, подготовку, логистику, разведку и боевые операции",RU
Әскери қызмет,SN,Қарулы күштердің бейбіт және соғыс уақытындағы жалпы әрекеттері,KZ
Әскери қызмет,SN,"Оқыту, дайындық, логистика, барлау және ұрыс операцияларын қамтиды",KZ
Military Activity,NT,Training Activity,EN
Military Activity,NT,Logistics Activity,EN
Military Activity,NT,Intelligence Activity,EN
Военная деятельность,NT,Учебная деятельность,RU
Военная деятельность,NT,Логистическая деятельность,RU
Военная деятельность,NT,Разведывательная деятельность,RU
Әскери қызмет,NT,Оқыту шаралары,KZ
Әскери қызмет,NT,Логистикалық іс-шаралар,KZ
Әскери қызмет,NT,Барлау іс-шаралары,KZ
Military Activity,RT,Military Readiness,EN
Military Activity,RT,Troop Deployment,EN
Military Activity,RT,Operational Planning,EN
Военная деятельность,RT,Боевая готовность,RU
Военная деятельность,RT,Развёртывание войск,RU
Военная деятельность,RT,Оперативное планирование,RU
Әскери қызмет,RT,Әскери дайындық,KZ
Әскери қызмет,RT,Қарулы күштерді орналастыру,KZ
Әскери қызмет,RT,Операциялық жоспарлау,KZ
Military Activity,UF,Armed Forces Activity,EN
Military Activity,UF,Defense Activity,EN
Военная деятельность,UF,Деятельность вооружённых сил,RU
Военная деятельность,UF,Оборонительная деятельность,RU
Әскери қызмет,UF,Қарулы күштер қызметі,KZ
Әскери қызмет,UF,Қорғаныс қызметі,KZ
Military Activity,PT,Training Programs,EN
Military Activity,PT,Readiness Assessments,EN
Military Activity,PT,Routine Maneuvers,EN
Military Activity,PT,Support Operations,EN
Военная деятельность,PT,Учебные программы,RU
Военная деятельность,PT,Оценка готовности,RU
Военная деятельность,PT,Регулярные манёвры,RU
Военная деятельность,PT,Операции поддержки,RU
Әскери қызмет,PT,Оқыту бағдарламалары,KZ
Әскери қызмет,PT,Дайындық бағалаулары,KZ
Әскери қызмет,PT,Қайталанатын маневрлер,KZ
Әскери қызмет,PT,Қолдау операциялары,KZ
Military Activity,LE,Activité militaire (FR),EN
Военная деятельность,LE,Activité militaire (FR),RU
Әскери қызмет,LE,Activité militaire (FR),KZ
Armed Forces Operations,SN,Actions carried out by national armed forces,EN
Armed Forces Operations,SN,"Includes combat, peacekeeping, humanitarian, and support operations",EN
Armed Forces Operations,SN,Organized and controlled activities of military units,EN
Операции вооружённых сил,SN,"Действия, выполняемые национальными вооружёнными силами",RU
Операции вооружённых сил,SN,"Включает боевые, миротворческие, гуманитарные и поддерживающие операции",RU
Қарулы күштер операциялары,SN,Ұлттық қарулы күштер жүзеге асыратын әрекеттер,KZ
Қарулы күштер операциялары,SN,"Ұрыс, бітімгерлік, гуманитарлық және қолдау операцияларын қамтиды",KZ
Armed Forces Operations,NT,Joint Operation,EN
Armed Forces Operations,NT,Peace Support Operation,EN
Armed Forces Operations,NT,Humanitarian Operation,EN
Операции вооружённых сил,NT,Совместная операция,RU
Операции вооружённых сил,NT,Миротворческая операция,RU
Операции вооружённых сил,NT,Гуманитарная операция,RU
Қарулы күштер операциялары,NT,Біріккен операция,KZ
Қарулы күштер операциялары,NT,Бітімгерлік операция,KZ
Қарулы күштер операциялары,NT,Гуманитарлық операция,KZ
Armed Forces Operations,RT,Force Deployment,EN
Armed Forces Operations,RT,Operational Command,EN
Armed Forces Operations,RT,Logistical Operations,EN
Операции вооружённых сил,RT,Развёртывание сил,RU
Операции вооружённых сил,RT,Оперативное командование,RU
Операции вооружённых сил,RT,Логистические операции,RU
Қарулы күштер операциялары,RT,Күштерді орналастыру,KZ
Қарулы күштер операциялары,RT,Оперативтік басқару,KZ
Қарулы күштер операциялары,RT,Логистикалық операциялар,KZ
Armed Forces Operations,UF,Military Operations,EN
Armed Forces Operations,UF,Forces Operations,EN
Операции вооружённых сил,UF,Военные операции,RU
Операции вооружённых сил,UF,Действия сил,RU
Қарулы күштер операциялары,UF,Әскери операциялар,KZ
Қарулы күштер операциялары,UF,Күштер операциялары,KZ
Armed Forces Operations,PT,Command Structure,EN
Armed Forces Operations,PT,Operational Units,EN
Armed Forces Operations,PT,Support Units,EN
Операции вооружённых сил,PT,Командная структура,RU
Операции вооружённых сил,PT,Оперативные подразделения,RU
Операции вооружённых сил,PT,Поддерживающие подразделения,RU
Қарулы күштер операциялары,PT,Басқару құрылымы,KZ
Қарулы күштер операциялары,PT,Операциялық бөлімдер,KZ
Қарулы күштер операциялары,PT,Қолдау бөлімдері,KZ
Armed Forces Operations,LE,Opérations des forces armées (FR),EN
Операции вооружённых сил,LE,Opérations des forces armées (FR),RU
Қарулы күштер операциялары,LE,Opérations des forces armées (FR),KZ
ions,EN,,
Training Activity,BT,Military Activity,EN
Учебная деятельность,BT,Военная деятельность,RU
Оқыту шаралары,BT,Әскери қызмет,KZ
Training Activity,SN,Organized programs to improve military skills and readiness,EN
Training Activity,SN,"Includes drills, exercises, simulations, and classroom instruction",EN
Учебная деятельность,SN,Организованные программы для повышения боевой подготовки,RU
Учебная деятельность,SN,"Включает учения, тренировки, симуляции и занятия в классе",RU
Оқыту шаралары,SN,Әскери дағдылар мен дайындықты арттыруға арналған ұйымдастырылған бағдарламалар,KZ
Оқыту шаралары,SN,"Сынақтар, жаттығулар, симуляциялар және сабақтардан тұрады",KZ
Training Activity,NT,Physical Training,EN
Training Activity,NT,Classroom Instruction,EN
Training Activity,NT,Simulation Exercises,EN
Учебная деятельность,NT,Физическая подготовка,RU
Учебная деятельность,NT,Занятия в классе,RU
Учебная деятельность,NT,Симуляционные упражнения,RU
Оқыту шаралары,NT,Дене шынықтыру,KZ
Оқыту шаралары,NT,Сыныптағы сабақтар,KZ
Оқыту шаралары,NT,Симуляциялық жаттығулар,KZ
Training Activity,RT,Readiness Assessment,EN
Training Activity,RT,Tactical Drills,EN
Учебная деятельность,RT,Оценка готовности,RU
Учебная деятельность,RT,Тактические упражнения,RU
Оқыту шаралары,RT,Дайындық бағалауы,KZ
Оқыту шаралары,RT,Тактикалық жаттығулар,KZ
Training Activity,UF,Military Training,EN
Training Activity,UF,Skill Development,EN
Учебная деятельность,UF,Военная подготовка,RU
Учебная деятельность,UF,Развитие навыков,RU
Оқыту шаралары,UF,Әскери дайындық,KZ
Оқыту шаралары,UF,Дағдыны дамыту,KZ
Training Activity,PT,Drills,EN
Training Activity,PT,Exercise Programs,EN
Training Activity,PT,Instruction Manuals,EN
Учебная деятельность,PT,Учебные упражнения,RU
Учебная деятельность,PT,Программы тренировок,RU
Учебная деятельность,PT,Учебные материалы,RU
Оқыту шаралары,PT,Жаттығулар,KZ
Оқыту шаралары,PT,Жаттығу бағдарламалары,KZ
Оқыту шаралары,PT,Оқу құралдары,KZ
Training Activity,LE,Activité de formation (FR),EN
Учебная деятельность,LE,Activité de formation (FR),RU
Оқыту шаралары,LE,Activité de formation (FR),KZ
Logistics Activity,BT,Military Activity,EN
Логистическая деятельность,BT,Военная деятельность,RU
Логистикалық іс-шаралар,BT,Әскери қызмет,KZ
Logistics Activity,SN,"Management of resources, supplies, and transportation for military operations",EN
Logistics Activity,SN,"Includes supply chains, equipment maintenance, and transportation planning",EN
Логистическая деятельность,SN,"Управление ресурсами, снабжением и транспортом",RU
Логистическая деятельность,SN,"Включает цепочки поставок, обслуживание техники и планирование перевозок",RU
Логистикалық іс-шаралар,SN,"Әскери операцияларға ресурстарды, жабдықтарды және транспортты басқару",KZ
Логистикалық іс-шаралар,SN,"Жабдықтау тізбектері, техниканы жөндеу және тасымалдауды жоспарлау",KZ
Logistics Activity,NT,Supply Chain Management,EN
Logistics Activity,NT,Transport Planning,EN
Logistics Activity,NT,Equipment Maintenance,EN
Логистическая деятельность,NT,Управление цепочками поставок,RU
Логистическая деятельность,NT,Планирование транспортировки,RU
Логистическая деятельность,NT,Обслуживание оборудования,RU
Логистикалық іс-шаралар,NT,Жабдықтау тізбегін басқару,KZ
Логистикалық іс-шаралар,NT,Тасымалдауды жоспарлау,KZ
Логистикалық іс-шаралар,NT,Жабдықты техникалық қызмет көрсету,KZ
Logistics Activity,RT,Operational Readiness,EN
Logistics Activity,RT,Resource Allocation,EN
Логистическая деятельность,RT,Оперативная готовность,RU
Логистическая деятельность,RT,Распределение ресурсов,RU
Логистикалық іс-шаралар,RT,Операциялық дайындық,KZ
Логистикалық іс-шаралар,RT,Ресурстарды бөлу,KZ
Logistics Activity,UF,Supply Operations,EN
Logistics Activity,UF,Maintenance Activity,EN
Логистическая деятельность,UF,Операции снабжения,RU
Логистическая деятельность,UF,Техническое обслуживание,RU
Логистикалық іс-шаралар,UF,Жабдықтау операциялары,KZ
Логистикалық іс-шаралар,UF,Техникалық қызмет,KZ
Logistics Activity,PT,Warehousing,EN
Logistics Activity,PT,Transport Units,EN
Logistics Activity,PT,Inventory Management,EN
Логистическая деятельность,PT,Склады,RU
Логистическая деятельность,PT,Транспортные подразделения,RU
Логистическая деятельность,PT,Управление запасами,RU
Логистикалық іс-шаралар,PT,Қоймалар,KZ
Логистикалық іс-шаралар,PT,Тасымалдау бөлімдері,KZ
Логистикалық іс-шаралар,PT,Қорларды басқару,KZ
Logistics Activity,LE,Activité logistique (FR),EN
Логистическая деятельность,LE,Activité logistique (FR),RU
Логистикалық іс-шаралар,LE,Activité logistique (FR),KZ
Intelligence Activity,BT,Military Activity,EN
Разведывательная деятельность,BT,Военная деятельность,RU
Барлау іс-шаралары,BT,Әскери қызмет,KZ
Intelligence Activity,SN,"Collection, analysis, and dissemination of information relevant to military operations",EN
Intelligence Activity,SN,"Includes reconnaissance, signals intelligence, and counterintelligence",EN
Разведывательная деятельность,SN,"Сбор, анализ и распространение информации о противнике",RU
Разведывательная деятельность,SN,"Включает разведку, радиотехническую разведку и контрразведку",RU
Барлау іс-шаралары,SN,"Әскери операцияларға қатысты ақпаратты жинау, талдау және тарату",KZ
Барлау іс-шаралары,SN,"Барлау, сигналдық барлау және контрбарлау жұмыстарын қамтиды",KZ
Intelligence Activity,NT,HUMINT,EN
Intelligence Activity,NT,SIGINT,EN
Intelligence Activity,NT,Counterintelligence,EN
Разведывательная деятельность,NT,Человеческая разведка,RU
Разведывательная деятельность,NT,Радиоразведка,RU
Разведывательная деятельность,NT,Контрразведка,RU
Барлау іс-шаралары,NT,Адам барлауы,KZ
Барлау іс-шаралары,NT,Сигналдық барлау,KZ
Барлау іс-шаралары,NT,Контрбарлау,KZ
Intelligence Activity,RT,Operational Intelligence,EN
Intelligence Activity,RT,Strategic Intelligence,EN
Разведывательная деятельность,RT,Оперативная разведка,RU
Разведывательная деятельность,RT,Стратегическая разведка,RU
Барлау іс-шаралары,RT,Операциялық барлау,KZ
Барлау іс-шаралары,RT,Стратегиялық барлау,KZ
Intelligence Activity,UF,Reconnaissance,EN
Intelligence Activity,UF,Information Gathering,EN
Разведывательная деятельность,UF,Разведка,RU
Разведывательная деятельность,UF,Сбор информации,RU
Барлау іс-шаралары,UF,Барлау,KZ
Барлау іс-шаралары,UF,Ақпарат жинау,KZ
Intelligence Activity,PT,Recon Missions,EN
Intelligence Activity,PT,Analysis Reports,EN
Intelligence Activity,PT,Surveillance Operations,EN
Разведывательная деятельность,PT,Разведывательные миссии,RU
Разведывательная деятельность,PT,Аналитические отчёты,RU
Разведывательная деятельность,PT,Операции наблюдения,RU
Барлау іс-шаралары,PT,Барлау миссиялары,KZ
Барлау іс-шаралары,PT,Талдау есептері,KZ
Барлау іс-шаралары,PT,Бақылау операциялары,KZ
Intelligence Activity,LE,Activité de renseignement (FR),EN
Разведывательная деятельность,LE,Activité de renseignement (FR),RU
Барлау іс-шаралары,LE,Activité de renseignement (FR),KZ
Combat Operation,BT,Military Operation,EN
Боевые действия,BT,Военная операция,RU
Ұрыс операциясы,BT,Әскери операция,KZ
Combat Operation,SN,Planned and executed operations involving direct combat with enemy forces,EN
Боевые действия,SN,Плановые и выполняемые операции с прямым столкновением с противником,RU
Ұрыс операциясы,SN,Қарсылас күштермен тікелей шайқасқа бағытталған жоспарлы операциялар,KZ
Combat Operation,NT,Offensive Operation,EN
Combat Operation,NT,Defensive Operation,EN
Боевые действия,NT,Наступательная операция,RU
Боевые действия,NT,Оборонительная операция,RU
Ұрыс операциясы,NT,Шабуыл операциясы,KZ
Ұрыс операциясы,NT,Қорғаныс операциясы,KZ
Combat Operation,RT,Tactical Engagement,EN
Combat Operation,RT,Operational Maneuver,EN
Боевые действия,RT,Тактическое столкновение,RU
Боевые действия,RT,Оперативный манёвр,RU
Ұрыс операциясы,RT,Тактикалық шайқас,KZ
Ұрыс операциясы,RT,Операциялық манёвр,KZ
Combat Operation,UF,Attack Operation,EN
Combat Operation,UF,Combat Mission,EN
Боевые действия,UF,Операция атаки,RU
Боевые действия,UF,Боевое задание,RU
Ұрыс операциясы,UF,Шабуыл операциясы,KZ
Ұрыс операциясы,UF,Соғыс миссиясы,KZ
Combat Operation,PT,Engagements,EN
Combat Operation,PT,Battles,EN
Боевые действия,PT,Сражения,RU
Боевые действия,PT,Бои,RU
Ұрыс операциясы,PT,Шайқастар,KZ
Ұрыс операциясы,PT,Күрестер,KZ
Combat Operation,LE,Opération de combat (FR),EN
Боевые действия,LE,Opération de combat (FR),RU
Ұрыс операциясы,LE,Opération de combat (FR),KZ
Peacekeeping Operation,BT,Military Operation,EN
Миротворческая операция,BT,Военная операция,RU
Бітімгерлік операция,BT,Әскери операция,KZ
Peacekeeping Operation,SN,Military operations aimed at maintaining or enforcing peace agreements and stability in conflict zones,EN
Миротворческая операция,SN,"Военные операции, направленные на поддержание или обеспечение мира и стабильности в зонах конфликта",RU
Бітімгерлік операция,SN,Дағдарыс аймақтарында бейбіт келісімдер мен тұрақтылықты қамтамасыз етуге бағытталған әскери операциялар,KZ
Peacekeeping Operation,NT,Patrol Missions,EN
Peacekeeping Operation,NT,Civil Protection,EN
Миротворческая операция,NT,Патрульные миссии,RU
Миротворческая операция,NT,Защита гражданского населения,RU
Бітімгерлік операция,NT,Патрульдік миссиялар,KZ
Бітімгерлік операция,NT,Азаматтық қорғау,KZ
Peacekeeping Operation,RT,Humanitarian Assistance,EN
Peacekeeping Operation,RT,Conflict Mediation,EN
Миротворческая операция,RT,Гуманитарная помощь,RU
Миротворческая операция,RT,Посредничество в конфликте,RU
Бітімгерлік операция,RT,Гуманитарлық көмек,KZ
Бітімгерлік операция,RT,Дағдарысты медиация,KZ
Peacekeeping Operation,UF,Peace Operation,EN
Peacekeeping Operation,UF,Stability Operation,EN
Миротворческая операция,UF,Операция по поддержанию мира,RU
Миротворческая операция,UF,Операция стабилизации,RU
Бітімгерлік операция,UF,Бейбітшілік операциясы,KZ
Бітімгерлік операция,UF,Тұрақтылық операциясы,KZ
Peacekeeping Operation,PT,Checkpoints,EN
Peacekeeping Operation,PT,Observation Posts,EN
Миротворческая операция,PT,Контрольные пункты,RU
Миротворческая операция,PT,Наблюдательные посты,RU
Бітімгерлік операция,PT,Бақылау бекеттері,KZ
Бітімгерлік операция,PT,Бақылау посттары,KZ
Peacekeeping Operation,LE,Opération de maintien de la paix (FR),EN
Миротворческая операция,LE,Opération de maintien de la paix (FR),RU
Бітімгерлік операция,LE,Opération de maintien de la paix (FR),KZ
Special Forces Operation,BT,Military Operation,EN
Операция спецназа,BT,Военная операция,RU
Арнайы күштер операциясы,BT,Әскери операция,KZ
Special Forces Operation,SN,Operations conducted by specialized military units for high-risk or strategic objectives,EN
Операция спецназа,SN,"Операции, выполняемые специализированными военными подразделениями для выполнения сложных или стратегических задач",RU
Арнайы күштер операциясы,SN,Жоғары қауіп-қатер немесе стратегиялық мақсаттарға арналған арнайы әскери бөлімшелердің операциялары,KZ
Special Forces Operation,NT,Covert Mission,EN
Special Forces Operation,NT,Direct Action,EN
Операция спецназа,NT,Скрытая миссия,RU
Операция спецназа,NT,Прямое действие,RU
Арнайы күштер операциясы,NT,Жасырын миссия,KZ
Арнайы күштер операциясы,NT,Тікелей әрекет,KZ
Special Forces Operation,RT,Tactical Recon,EN
Special Forces Operation,RT,Targeted Strike,EN
Операция спецназа,RT,Тактическая разведка,RU
Операция спецназа,RT,Прицельный удар,RU
Арнайы күштер операциясы,RT,Тактикалық барлау,KZ
Арнайы күштер операциясы,RT,Мақсатты соққы,KZ
Special Forces Operation,UF,Elite Operation,EN
Special Forces Operation,UF,Special Mission,EN
Операция спецназа,UF,Элитная операция,RU
Операция спецназа,UF,Специальная миссия,RU
Арнайы күштер операциясы,UF,Элиталық операция,KZ
Арнайы күштер операциясы,UF,Арнайы миссия,KZ
Special Forces Operation,PT,Sabotage,EN
Special Forces Operation,PT,Hostage Rescue,EN
Операция спецназа,PT,Диверсия,RU
Операция спецназа,PT,Спасение заложников,RU
Арнайы күштер операциясы,PT,Саботаж,KZ
Арнайы күштер операциясы,PT,Байлау құтқару,KZ
Special Forces Operation,LE,Opération des forces spéciales (FR),EN
Операция спецназа,LE,Opération des forces spéciales (FR),RU
Арнайы күштер операциясы,LE,Opération des forces spéciales (FR),KZ
Offensive Operation,BT,Military Operation,EN
Наступательная операция,BT,Военная операция,RU
Шабуыл операциясы,BT,Әскери операция,KZ
Offensive Operation,SN,Planned military operation aimed at attacking enemy positions or gaining territory,EN
Наступательная операция,SN,"Военная операция, направленная на атаку позиций противника или захват территории",RU
Шабуыл операциясы,SN,Қарсылас позицияларын шабуылдау немесе территорияны алу мақсатындағы жоспарланған әскери операция,KZ
Offensive Operation,NT,Assault,EN
Offensive Operation,NT,Penetration,EN
Наступательная операция,NT,Штурм,RU
Наступательная операция,NT,Прорыв,RU
Шабуыл операциясы,NT,Шабуыл,KZ
Шабуыл операциясы,NT,Прорыв,KZ
Offensive Operation,RT,Strike Planning,EN
Offensive Operation,RT,Flanking Maneuver,EN
Наступательная операция,RT,Планирование удара,RU
Наступательная операция,RT,Фланговый манёвр,RU
Шабуыл операциясы,RT,Соққы жоспары,KZ
Шабуыл операциясы,RT,Қапталдан манёвр,KZ
Offensive Operation,UF,Attack Operation,EN
Offensive Operation,UF,Advance Operation,EN
Наступательная операция,UF,Операция атаки,RU
Наступательная операция,UF,Наступательная операция,RU
Шабуыл операциясы,UF,Шабуыл операциясы,KZ
Шабуыл операциясы,UF,Алға жылжу операциясы,KZ
Offensive Operation,PT,Combat Engagements,EN
Offensive Operation,PT,Penetration Units,EN
Наступательная операция,PT,Боевые столкновения,RU
Наступательная операция,PT,Прорывные подразделения,RU
Шабуыл операциясы,PT,Шайқастар,KZ
Шабуыл операциясы,PT,Прорыв бөлімдері,KZ
Offensive Operation,LE,Opération offensive (FR),EN
Наступательная операция,LE,Opération offensive (FR),RU
Шабуыл операциясы,LE,Opération offensive (FR),KZ
Defensive Operation,BT,Military Operation,EN
Оборонительная операция,BT,Военная операция,RU
Қорғаныс операциясы,BT,Әскери операция,KZ
Defensive Operation,SN,Planned military operation aimed at defending positions or repelling enemy attacks,EN
Оборонительная операция,SN,"Военная операция, направленная на защиту позиций или отражение атак противника",RU
Қорғаныс операциясы,SN,Қарсылас шабуылдарын тойтару немесе позицияларды қорғауға арналған жоспарланған әскери операция,KZ
Defensive Operation,NT,Fortification,EN
Defensive Operation,NT,Counterattack,EN
Оборонительная операция,NT,Фортификация,RU
Оборонительная операция,NT,Контратака,RU
Қорғаныс операциясы,NT,Қорғаныс бекіністері,KZ
Қорғаныс операциясы,NT,Қарсы шабуыл,KZ
Defensive Operation,RT,Early Warning,EN
Defensive Operation,RT,Area Defense,EN
Оборонительная операция,RT,Раннее предупреждение,RU
Оборонительная операция,RT,Оборона территории,RU
Қорғаныс операциясы,RT,Алдын ала ескерту,KZ
Қорғаныс операциясы,RT,Аудан қорғанысы,KZ
Defensive Operation,UF,Protective Operation,EN
Defensive Operation,UF,Defense Action,EN
Оборонительная операция,UF,Оборонительная операция,RU
Оборонительная операция,UF,Защитное действие,RU
Қорғаныс операциясы,UF,Қорғаныс операциясы,KZ
Қорғаныс операциясы,UF,Қорғаныс әрекеті,KZ
Defensive Operation,PT,Defensive Positions,EN
Defensive Operation,PT,Counterattack Units,EN
Оборонительная операция,PT,Оборонительные позиции,RU
Оборонительная операция,PT,Подразделения контратаки,RU
Қорғаныс операциясы,PT,Қорғаныс позициялары,KZ
Қорғаныс операциясы,PT,Қарсы шабуыл бөлімдері,KZ
Defensive Operation,LE,Opération défensive (FR),EN
Оборонительная операция,LE,Opération défensive (FR),RU
Қорғаныс операциясы,LE,Opération défensive (FR),KZ
Military Strategy,BT,Military Operation,EN
Военная стратегия,BT,Военная операция,RU
Әскери стратегия,BT,Әскери операция,KZ
Military Strategy,SN,"A plan or approach to achieve military objectives, guiding the deployment and use of forces",EN
Военная стратегия,SN,"План или подход для достижения военных целей, направляющий использование сил",RU
Әскери стратегия,SN,"Әскери мақсаттарға жетуге бағытталған жоспар немесе тәсіл, күштерді қолдануды басқарады",KZ
Military Strategy,RT,Military Operation,EN
Военная стратегия,RT,Военная операция,RU
Әскери стратегия,RT,Әскери операция,KZ
Military Strategy,NT,Offensive Strategy,EN
Military Strategy,NT,Defensive Strategy,EN
Военная стратегия,NT,Наступательная стратегия,RU
Военная стратегия,NT,Оборонительная стратегия,RU
Әскери стратегия,NT,Шабуыл стратегиясы,KZ
Әскери стратегия,NT,Қорғаныс стратегиясы,KZ
Military Strategy,UF,Tactics Planning,EN
Military Strategy,UF,Operational Strategy,EN
Военная стратегия,UF,Планирование тактики,RU
Военная стратегия,UF,Оперативная стратегия,RU
Әскери стратегия,UF,Тактикалық жоспарлау,KZ
Әскери стратегия,UF,Операциялық стратегия,KZ
Military Strategy,PT,Campaign Plans,EN
Military Strategy,PT,Force Deployment,EN
Военная стратегия,PT,Планы кампаний,RU
Военная стратегия,PT,Развёртывание войск,RU
Әскери стратегия,PT,Науқан жоспарлары,KZ
Әскери стратегия,PT,Күштерді орналастыру,KZ
Military Strategy,LE,Stratégie militaire (FR),EN
Военная стратегия,LE,Stratégie militaire (FR),RU
Әскери стратегия,LE,Stratégie militaire (FR),KZ
Tactical Maneuver,BT,Military Operation,EN
Тактический манёвр,BT,Военная операция,RU
Тактикалық манёвр,BT,Әскери операция,KZ
Tactical Maneuver,SN,Planned movement of military units to gain an advantage over the enemy,EN
Тактический манёвр,SN,Плановое перемещение войск для получения преимущества над противником,RU
Тактикалық манёвр,SN,Қарсыластарға үстемдік жасау үшін әскерлерді жоспарлы қозғалысы,KZ
Tactical Maneuver,RT,Military Operation,EN
Тактический манёвр,RT,Военная операция,RU
Тактикалық манёвр,RT,Әскери операция,KZ
Tactical Maneuver,NT,Flanking Maneuver,EN
Tactical Maneuver,NT,Encirclement Maneuver,EN
Тактический манёвр,NT,Фланговый манёвр,RU
Тактический манёвр,NT,Окружение,RU
Тактикалық манёвр,NT,Қапталдан шабуыл,KZ
Тактикалық манёвр,NT,Орталықтан қоршау,KZ
Tactical Maneuver,UF,Field Maneuver,EN
Tactical Maneuver,UF,Unit Movement,EN
Тактический манёвр,UF,Полевой манёвр,RU
Тактический манёвр,UF,Перемещение подразделений,RU
Тактикалық манёвр,UF,Алғашқы манёвр,KZ
Тактикалық манёвр,UF,Бөлімшелер қозғалысы,KZ
Tactical Maneuver,PT,Maneuver Planning,EN
Tactical Maneuver,PT,Execution Units,EN
Тактический манёвр,PT,Планирование манёвра,RU
Тактический манёвр,PT,Исполнители,RU
Тактикалық манёвр,PT,Манёврді жоспарлау,KZ
Тактикалық манёвр,PT,Орындаушы бөлімшелер,KZ
Tactical Maneuver,LE,Manœuvre tactique (FR),EN
Тактический манёвр,LE,Manœuvre tactique (FR),RU
Тактикалық манёвр,LE,Manœuvre tactique (FR),KZ
Logistical Support,BT,Military Operation,EN
Логистическая поддержка,BT,Военная операция,RU
Логистикалық қамтамасыз ету,BT,Әскери операция,KZ
Logistical Support,SN,"Provision of resources, supplies, transportation, and services necessary for military operations",EN
Логистическая поддержка,SN,"Обеспечение ресурсами, снабжением, транспортом и услугами, необходимыми для операций",RU
