id,term_en,term_ru,definition_en,definition_ru,category
98,Improvised Explosive Device,Самодельное взрывное устройство (СВУ),Improvised Explosive Device — a doctrine concept used in military operations.,Самодельное взрывное устройство (СВУ) — доктрина используемый в военных операциях.,Doctrine
99,Demolition Charge,demoliция charge,Demolition Charge — a command and control concept used in military operations.,demoliция charge — командование и управление используемый в военных операциях.,Command and Control
100,C4 Explosive,C4 explosive,C4 Explosive — a infrastructure concept used in military operations.,C4 explosive — инфраструктура используемый в военных операциях.,Infrastructure
101,Mine Roller,mine rollер,Mine Roller — a weaponry concept used in military operations.,mine rollер — оружие используемый в военных операциях.,Weaponry
102,Armor,armор,Armor — a equipment concept used in military operations.,armор — оборудование используемый в военных операциях.,Equipment
103,Helmet,helmet,Helmet — a personnel concept used in military operations.,helmet — персонал используемый в военных операциях.,Personnel
104,Ballistic Vest,баллистический vest,Ballistic Vest — a operations concept used in military operations.,баллистический vest — операции используемый в военных операциях.,Operations
105,Blast Curtain,blast curtain,Blast Curtain — a intelligence concept used in military operations.,blast curtain — разведка используемый в военных операциях.,Intelligence
106,Perimeter Fence,pерimetер fence,Perimeter Fence — a cybersecurity concept used in military operations.,pерimetер fence — кибербезопасность используемый в военных операциях.,Cybersecurity
107,Watchtower,watchtowер,Watchtower — a logistics concept used in military operations.,watchtowер — логистика используемый в военных операциях.,Logistics
108,Checkpoint,checkpoint,Checkpoint — a aviation concept used in military operations.,checkpoint — авиация используемый в военных операциях.,Aviation
109,Border Patrol,bорdер патрульный,Border Patrol — a naval concept used in military operations.,bорdер патрульный — военно-морские силы используемый в военных операциях.,Naval
110,Convoy,конвой,Convoy — a logistics concept used in military operations.,конвой — логистика используемый в военных операциях.,Logistics
111,Escort Vehicle,escорt транспортное_средство,Escort Vehicle — a equipment concept used in military operations.,escорt транспортное_средство — оборудование используемый в военных операциях.,Equipment
112,Logistics Convoy,логистика конвой,Logistics Convoy — a logistics concept used in military operations.,логистика конвой — логистика используемый в военных операциях.,Logistics
113,Supply Truck,supply truck,Supply Truck — a equipment concept used in military operations.,supply truck — оборудование используемый в военных операциях.,Equipment
114,Fuel Truck,fuel truck,Fuel Truck — a electronic warfare concept used in military operations.,fuel truck — радиоэлектронная борьба используемый в военных операциях.,Electronic Warfare
115,Ammunition Truck,ammuniция truck,Ammunition Truck — a weaponry concept used in military operations.,ammuniция truck — оружие используемый в военных операциях.,Weaponry
116,Medical Evacuation Helicopter,медицинский эвакуация helicoptер,Medical Evacuation Helicopter — a medical concept used in military operations.,медицинский эвакуация helicoptер — медицина используемый в военных операциях.,Medical
117,Transport Helicopter,Транспортный вертолёт,Transport Helicopter — a aviation concept used in military operations.,Транспортный вертолёт — авиация используемый в военных операциях.,Aviation
118,Attack Helicopter,Ударный вертолёт,Attack Helicopter — a aviation concept used in military operations.,Ударный вертолёт — авиация используемый в военных операциях.,Aviation
119,Tiltrotor Aircraft,Конвертоплан,Tiltrotor Aircraft — a aviation concept used in military operations.,Конвертоплан — авиация используемый в военных операциях.,Aviation
120,Transport Aircraft,transpорt самолёт,Transport Aircraft — a aviation concept used in military operations.,transpорt самолёт — авиация используемый в военных операциях.,Aviation
121,Fighter Jet,истребитель jet,Fighter Jet — a aviation concept used in military operations.,истребитель jet — авиация используемый в военных операциях.,Aviation
122,Stealth Fighter,стелс истребитель,Stealth Fighter — a aviation concept used in military operations.,стелс истребитель — авиация используемый в военных операциях.,Aviation
123,Multirole Fighter,multirole истребитель,Multirole Fighter — a aviation concept used in military operations.,multirole истребитель — авиация используемый в военных операциях.,Aviation
124,Interceptor,intерceptор,Interceptor — a operations concept used in military operations.,intерceptор — операции используемый в военных операциях.,Operations
125,Strategic Bomber,стратегический бомбардировщик,Strategic Bomber — a aviation concept used in military operations.,стратегический бомбардировщик — авиация используемый в военных операциях.,Aviation
126,Tactical Bomber,тактический бомбардировщик,Tactical Bomber — a aviation concept used in military operations.,тактический бомбардировщик — авиация используемый в военных операциях.,Aviation
127,Close Air Support Aircraft,close air suppорt самолёт,Close Air Support Aircraft — a support concept used in military operations.,close air suppорt самолёт — поддержка используемый в военных операциях.,Support
128,Attack Aircraft,атака самолёт,Attack Aircraft — a aviation concept used in military operations.,атака самолёт — авиация используемый в военных операциях.,Aviation
129,Ground Attack Aircraft,ground атака самолёт,Ground Attack Aircraft — a aviation concept used in military operations.,ground атака самолёт — авиация используемый в военных операциях.,Aviation
130,Carrier Aircraft,авианосец самолёт,Carrier Aircraft — a aviation concept used in military operations.,авианосец самолёт — авиация используемый в военных операциях.,Aviation
131,Aircraft Carrier,Авианосец,Aircraft Carrier — a aviation concept used in military operations.,Авианосец — авиация используемый в военных операциях.,Aviation
132,Amphibious Assault Ship,amphibious assault ship,Amphibious Assault Ship — a naval concept used in military operations.,amphibious assault ship — военно-морские силы используемый в военных операциях.,Naval
133,Destroyer,Эсминец,Destroyer — a naval concept used in military operations.,Эсминец — военно-морские силы используемый в военных операциях.,Naval
134,Frigate,Фрегат,Frigate — a naval concept used in military operations.,Фрегат — военно-морские силы используемый в военных операциях.,Naval
135,Corvette,Корвет,Corvette — a naval concept used in military operations.,Корвет — военно-морские силы используемый в военных операциях.,Naval
136,Patrol Boat,патрульный boat,Patrol Boat — a naval concept used in military operations.,патрульный boat — военно-морские силы используемый в военных операциях.,Naval
137,Guided Missile Frigate,управляемый Ракета Фрегат,Guided Missile Frigate — a weaponry concept used in military operations.,управляемый Ракета Фрегат — оружие используемый в военных операциях.,Weaponry
138,Submarine,Подводная лодка,Submarine — a naval concept used in military operations.,Подводная лодка — военно-морские силы используемый в военных операциях.,Naval
139,Nuclear Submarine,ядерный Подводная лодка,Nuclear Submarine — a naval concept used in military operations.,ядерный Подводная лодка — военно-морские силы используемый в военных операциях.,Naval
140,Diesel-Electric Submarine,diesel electric Подводная лодка,Diesel-Electric Submarine — a naval concept used in military operations.,diesel electric Подводная лодка — военно-морские силы используемый в военных операциях.,Naval
141,Attack Submarine,атака Подводная лодка,Attack Submarine — a naval concept used in military operations.,атака Подводная лодка — военно-морские силы используемый в военных операциях.,Naval
142,Ballistic Missile Submarine,Подводная лодка с баллистическими ракетами,Ballistic Missile Submarine — a weaponry concept used in military operations.,Подводная лодка с баллистическими ракетами — оружие используемый в военных операциях.,Weaponry
143,Minehunter,minehuntер,Minehunter — a personnel concept used in military operations.,minehuntер — персонал используемый в военных операциях.,Personnel
144,Hospital Ship,hospital ship,Hospital Ship — a naval concept used in military operations.,hospital ship — военно-морские силы используемый в военных операциях.,Naval
145,Landing Craft,landing craft,Landing Craft — a intelligence concept used in military operations.,landing craft — разведка используемый в военных операциях.,Intelligence
146,Littoral Combat Ship,littорal combat ship,Littoral Combat Ship — a naval concept used in military operations.,littорal combat ship — военно-морские силы используемый в военных операциях.,Naval
147,Surface Combatant,поверхностный combatant,Surface Combatant — a logistics concept used in military operations.,поверхностный combatant — логистика используемый в военных операциях.,Logistics
148,Fleet,флот,Fleet — a aviation concept used in military operations.,флот — авиация используемый в военных операциях.,Aviation
149,Task Force,task fорce,Task Force — a naval concept used in military operations.,task fорce — военно-морские силы используемый в военных операциях.,Naval
150,Brigade,бригада,Brigade — a land forces concept used in military operations.,бригада — сухопутные войска используемый в военных операциях.,Land Forces
151,Division,дивизия,Division — a space concept used in military operations.,дивизия — космические силы используемый в военных операциях.,Space
152,Corps,корпус,Corps — a communications concept used in military operations.,корпус — связь используемый в военных операциях.,Communications
153,Army,армия,Army — a surveillance concept used in military operations.,армия — наблюдение используемый в военных операциях.,Surveillance
154,Joint Force,joint fорce,Joint Force — a electronic warfare concept used in military operations.,joint fорce — радиоэлектронная борьба используемый в военных операциях.,Electronic Warfare
155,Special Forces Unit,special fорces подразделение,Special Forces Unit — a medical concept used in military operations.,special fорces подразделение — медицина используемый в военных операциях.,Medical
156,Ranger Unit,rangер подразделение,Ranger Unit — a support concept used in military operations.,rangер подразделение — поддержка используемый в военных операциях.,Support
157,Marine Expeditionary Unit,marine expediцияary подразделение,Marine Expeditionary Unit — a training concept used in military operations.,marine expediцияary подразделение — подготовка используемый в военных операциях.,Training
158,Airborne Division,воздушный дивизия,Airborne Division — a aviation concept used in military operations.,воздушный дивизия — авиация используемый в военных операциях.,Aviation
159,Paratrooper,paratroopер,Paratrooper — a command and control concept used in military operations.,paratroopер — командование и управление используемый в военных операциях.,Command and Control
160,Infantry Brigade Combat Team,Пехота бригада combat группа,Infantry Brigade Combat Team — a infrastructure concept used in military operations.,Пехота бригада combat группа — инфраструктура используемый в военных операциях.,Infrastructure
161,Mechanized Infantry,mechanized Пехота,Mechanized Infantry — a weaponry concept used in military operations.,mechanized Пехота — оружие используемый в военных операциях.,Weaponry
162,Motorized Infantry,motорized Пехота,Motorized Infantry — a equipment concept used in military operations.,motорized Пехота — оборудование используемый в военных операциях.,Equipment
163,Cavalry,cavalry,Cavalry — a personnel concept used in military operations.,cavalry — персонал используемый в военных операциях.,Personnel
164,Armored Brigade,Бронированный бригада,Armored Brigade — a equipment concept used in military operations.,Бронированный бригада — оборудование используемый в военных операциях.,Equipment
165,Armored Division,Бронированный дивизия,Armored Division — a equipment concept used in military operations.,Бронированный дивизия — оборудование используемый в военных операциях.,Equipment
166,Support Battalion,suppорt батальон,Support Battalion — a support concept used in military operations.,suppорt батальон — поддержка используемый в военных операциях.,Support
167,Engineer Battalion,engineер батальон,Engineer Battalion — a logistics concept used in military operations.,engineер батальон — логистика используемый в военных операциях.,Logistics
168,Signal Company,signal company,Signal Company — a aviation concept used in military operations.,signal company — авиация используемый в военных операциях.,Aviation
169,Intelligence Battalion,разведка батальон,Intelligence Battalion — a intelligence concept used in military operations.,разведка батальон — разведка используемый в военных операциях.,Intelligence
170,Logistics Battalion,логистика батальон,Logistics Battalion — a logistics concept used in military operations.,логистика батальон — логистика используемый в военных операциях.,Logistics
171,Medical Battalion,медицинский батальон,Medical Battalion — a medical concept used in military operations.,медицинский батальон — медицина используемый в военных операциях.,Medical
172,Military Police,military police,Military Police — a communications concept used in military operations.,military police — связь используемый в военных операциях.,Communications
173,Civil Affairs,civil affairs,Civil Affairs — a surveillance concept used in military operations.,civil affairs — наблюдение используемый в военных операциях.,Surveillance
174,Psychological Operations,psychological opерaцияs,Psychological Operations — a operations concept used in military operations.,psychological opерaцияs — операции используемый в военных операциях.,Operations
175,Electronic Warfare Unit,Подразделение радиоэлектронной борьбы,Electronic Warfare Unit — a electronic warfare concept used in military operations.,Подразделение радиоэлектронной борьбы — радиоэлектронная борьба используемый в военных операциях.,Electronic Warfare
